CBM_Type,Training_Mode,Alpha,k,Run,Leakage,Warning,num_sim,n,d
soft,joint,1.0,10,1,0.003827764113993437,False,15,2000,700
soft,joint,1.0,10,2,0.008421168282549019,False,15,2000,700
soft,joint,1.0,10,3,0.0038214188080065714,False,15,2000,700
soft,joint,1.0,10,4,0.0003206806917424032,False,15,2000,700
soft,joint,1.0,10,5,0.0032148814430286166,False,15,2000,700
soft,joint,1.0,10,6,0.00416908191514298,False,15,2000,700
soft,joint,1.0,10,7,0.00042148583009682383,False,15,2000,700
soft,joint,1.0,10,8,-0.001408425277916514,False,15,2000,700
soft,joint,1.0,10,9,0.007909985711025191,False,15,2000,700
soft,joint,1.0,10,10,0.0017227461073163752,False,15,2000,700
soft,joint,1.0,10,11,0.002786652394145994,False,15,2000,700
soft,joint,1.0,10,12,0.0064708332694300985,False,15,2000,700
soft,joint,1.0,10,13,0.00021118509037743038,False,15,2000,700
soft,joint,1.0,10,14,0.0005604681900217567,False,15,2000,700
soft,joint,1.0,10,15,0.003857302849934241,False,15,2000,700
soft,joint,1.0,20,1,0.007665693174726984,False,15,2000,700
soft,joint,1.0,20,2,0.001339708857736266,False,15,2000,700
soft,joint,1.0,20,3,0.0015706292814674505,False,15,2000,700
soft,joint,1.0,20,4,0.007346395504864267,False,15,2000,700
soft,joint,1.0,20,5,0.005609156668588744,False,15,2000,700
soft,joint,1.0,20,6,0.0017006075384025099,False,15,2000,700
soft,joint,1.0,20,7,0.0035550154030157266,False,15,2000,700
soft,joint,1.0,20,8,0.010141680412236065,False,15,2000,700
soft,joint,1.0,20,9,0.00014816241065251923,False,15,2000,700
soft,joint,1.0,20,10,0.002594368946077452,False,15,2000,700
soft,joint,1.0,20,11,0.015218435349432013,False,15,2000,700
soft,joint,1.0,20,12,0.006902938866673924,False,15,2000,700
soft,joint,1.0,20,13,0.0057112393630120994,False,15,2000,700
soft,joint,1.0,20,14,0.005470943491345359,False,15,2000,700
soft,joint,1.0,20,15,0.002619988378832927,False,15,2000,700
soft,joint,1.0,50,1,0.014082399670375167,False,15,2000,700
soft,joint,1.0,50,2,0.0071589802647689105,False,15,2000,700
soft,joint,1.0,50,3,0.0022084082301749852,False,15,2000,700
soft,joint,1.0,50,4,0.009109906026475434,False,15,2000,700
soft,joint,1.0,50,5,0.0014999800104262828,False,15,2000,700
soft,joint,1.0,50,6,0.008660022149663327,False,15,2000,700
soft,joint,1.0,50,7,0.002349633113227334,False,15,2000,700
soft,joint,1.0,50,8,0.009356408448965015,False,15,2000,700
soft,joint,1.0,50,9,0.008808739634878604,False,15,2000,700
soft,joint,1.0,50,10,-0.002678755694665025,False,15,2000,700
soft,joint,1.0,50,11,0.0003250509459538087,False,15,2000,700
soft,joint,1.0,50,12,0.0038075306499116834,False,15,2000,700
soft,joint,1.0,50,13,-0.00029001742832290844,False,15,2000,700
soft,joint,1.0,50,14,0.005833159414203148,False,15,2000,700
soft,joint,1.0,50,15,0.009208086455937625,False,15,2000,700
soft,joint,1.0,100,1,0.009716489864637357,False,15,2000,700
soft,joint,1.0,100,2,0.0026193087019090733,False,15,2000,700
soft,joint,1.0,100,3,0.004779372394178916,False,15,2000,700
soft,joint,1.0,100,4,-0.00016679395700380795,False,15,2000,700
soft,joint,1.0,100,5,0.006018745994456065,False,15,2000,700
soft,joint,1.0,100,6,0.002327655647551996,False,15,2000,700
soft,joint,1.0,100,7,0.006163617382789921,False,15,2000,700
soft,joint,1.0,100,8,0.00493223873204518,False,15,2000,700
soft,joint,1.0,100,9,0.0006878144019524246,False,15,2000,700
