CBM_Type,Training_Mode,Alpha,k,num_sim,n,d,Leakage
soft,joint,0.01,25,15,10000,1000,0.07167123250041584
soft,joint,0.01,50,15,10000,1000,0.08281196043351059
soft,joint,0.01,75,15,10000,1000,0.07258308540501003
soft,joint,0.01,100,15,10000,1000,0.07740470396619485
soft,joint,0.01,125,15,10000,1000,0.07978850568036266
soft,joint,0.01,150,15,10000,1000,0.08449961235179436
soft,joint,0.025,25,15,10000,1000,0.07106241482958595
soft,joint,0.025,50,15,10000,1000,0.0807628858585379
soft,joint,0.025,75,15,10000,1000,0.07060246776148701
soft,joint,0.025,100,15,10000,1000,0.0748577276950273
soft,joint,0.025,125,15,10000,1000,0.07770821798077766
soft,joint,0.025,150,15,10000,1000,0.08039782508450669
soft,joint,0.05,25,15,10000,1000,0.06497371356547801
soft,joint,0.05,50,15,10000,1000,0.07365114403446234
soft,joint,0.05,75,15,10000,1000,0.0611366699274151
soft,joint,0.05,100,15,10000,1000,0.0632274350367377
soft,joint,0.05,125,15,10000,1000,0.06384141998880712
soft,joint,0.05,150,15,10000,1000,0.06492501124820296
soft,joint,0.075,25,15,10000,1000,0.05388825532533881
soft,joint,0.075,50,15,10000,1000,0.05832621726966534
soft,joint,0.075,75,15,10000,1000,0.04742139095095224
soft,joint,0.075,100,15,10000,1000,0.047509771045515785
soft,joint,0.075,125,15,10000,1000,0.045766483990246236
soft,joint,0.075,150,15,10000,1000,0.04422954461562753
soft,joint,0.1,25,15,10000,1000,0.03950446463775081
soft,joint,0.1,50,15,10000,1000,0.043098803338359734
soft,joint,0.1,75,15,10000,1000,0.03453542779267395
soft,joint,0.1,100,15,10000,1000,0.03220522645395436
soft,joint,0.1,125,15,10000,1000,0.029576690642493908
soft,joint,0.1,150,15,10000,1000,0.0236475650203188
soft,joint,0.2,25,15,10000,1000,0.0100816767828797
soft,joint,0.2,50,15,10000,1000,0.008545699329693898
soft,joint,0.2,75,15,10000,1000,0.0068883381117991116
soft,joint,0.2,100,15,10000,1000,0.005817342289822032
soft,joint,0.2,125,15,10000,1000,0.004553309028470428
soft,joint,0.2,150,15,10000,1000,0.0036045111539100136
soft,joint,0.3,25,15,10000,1000,0.004236367265500363
soft,joint,0.3,50,15,10000,1000,0.0031795963319135073
soft,joint,0.3,75,15,10000,1000,0.003018568402704143
soft,joint,0.3,100,15,10000,1000,0.002618558849847637
soft,joint,0.3,125,15,10000,1000,0.002452941345810326
soft,joint,0.3,150,15,10000,1000,0.001647391441474507
